source,topic,decay_rate,half_life_days,r2,n_obs,avg_tone,first_date,year,tone_category
abc,"WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,2547",3.172205557927035e-05,21850.638866319285,0.05894316476436934,6,,2016-03-22 19:30:00,2016,unknown
abc,"WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,379",2.653944306228551e-05,26117.623453257696,0.08303698710842056,9,,2016-02-07 05:45:00,2016,unknown
abc,"WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,404",3.305743831679622e-05,20967.964121036042,0.05605165127238165,5,,2016-05-23 23:30:00,2016,unknown
abc,"WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,429",4.862481332568743e-05,14255.009595970432,0.1818040949212263,8,,2016-03-29 12:30:00,2016,unknown
abc,"WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,459",3.6221678827222716e-05,19136.252183844237,0.13407988554758177,10,,2016-05-19 11:30:00,2016,unknown
abc,"WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,544",5.100789134985569e-06,135890.18526677566,0.0016192378011322672,8,,2016-06-28 13:00:00,2016,unknown
abc,"WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,75",1.1712806785940247e-05,59178.57207309023,0.015075578438631165,17,,2016-01-04 20:45:00,2016,unknown
abc,"WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,762",4.705023345326578e-05,14732.066765374011,0.11166930788311913,7,,2016-11-09 23:15:00,2016,unknown
abc,"WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,89",1.1565087365509869e-35,5.9934452603193685e+34,0.0,26,,2016-01-10 21:30:00,2016,unknown
abc,"WB_2433_CONFLICT_AND_VIOLENCE,1396",4.696248430456741e-06,147595.93552688867,0.0005733275013288797,7,,2016-12-08 20:15:00,2016,unknown
abc,"WB_2433_CONFLICT_AND_VIOLENCE,1564",7.285547002795783e-06,95140.03276541272,0.0018148053496287453,5,,2016-07-18 16:45:00,2016,unknown
abc,"WB_2433_CONFLICT_AND_VIOLENCE,379",4.516670670820571e-05,15346.418436879681,0.18938973453645724,7,,2016-05-05 20:45:00,2016,unknown
abc,"WB_2433_CONFLICT_AND_VIOLENCE,459",3.6478997781880365e-05,19001.2671045541,0.07786111876511181,8,,2016-05-19 11:30:00,2016,unknown
abc,"WB_2433_CONFLICT_AND_VIOLENCE,544",2.5401034537680255e-05,27288.147635550864,0.028792404673211425,6,,2016-12-18 12:45:00,2016,unknown
abc,"WB_2433_CONFLICT_AND_VIOLENCE,75",5.073646477464103e-05,13661.716156983652,0.06292029867432192,7,,2020-02-25 13:00:00,2020,unknown
abc,"WB_2433_CONFLICT_AND_VIOLENCE,762",4.392326722667645e-05,15780.86568521405,0.09225221510369586,6,,2016-11-09 23:15:00,2016,unknown
abc,"WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT,118",8.910106312524703e-05,7779.3368142600775,0.174789357191533,6,,2020-01-07 15:30:00,2020,unknown
abc,"WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT,429",3.519865764589258e-05,19692.432237989917,0.10778400523056053,6,,2016-06-02 09:15:00,2016,unknown
abc,"WB_2490_NATIONAL_PROTECTION_AND_SECURITY,429",3.519865764589258e-05,19692.432237989917,0.10778400523056053,6,,2016-06-02 09:15:00,2016,unknown
abc,"WB_2495_DETENTION_PRISON_AND_CORRECTIONS_REFORM,429",3.519865764589258e-05,19692.432237989917,0.10778400523056053,6,,2016-06-02 09:15:00,2016,unknown
abc,"WB_2670_JOBS,435",8.428552824738085e-05,8223.798260189282,0.2905034819772768,5,,2016-05-29 18:00:00,2016,unknown
abc,"WB_435_AGRICULTURE_AND_FOOD_SECURITY,213",7.250598246857515e-05,9559.861917054397,0.33153553489213694,5,,2016-03-23 14:15:00,2016,unknown
abc,"WB_470_EDUCATION,578",5.583781473562501e-05,12413.580005624959,0.16566873396424897,5,,2016-03-14 17:45:00,2016,unknown
abc,"WB_621_HEALTH_NUTRITION_AND_POPULATION,1047",3.951596731325937e-05,17540.939212371588,0.017542506060692076,5,,2020-02-03 22:00:00,2020,unknown
abc,"WB_621_HEALTH_NUTRITION_AND_POPULATION,1051",4.6324462974279355e-05,14962.875682871922,0.17465996791279415,5,,2016-04-23 03:00:00,2016,unknown
