source,topic,decay_rate,half_life_days,r2,n_obs,avg_tone,first_date,year
msnbc,"TAX_FNCACT_PRESIDENT,192",1.6164723343308862e-35,4.288023777696529e+34,0.0,26,,2016-01-13 16:00:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,21",7.98076245988066e-06,86852.25052673856,0.005326572825200326,57,,2016-05-14 15:00:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,216",9.084991574362556e-06,76295.85287849644,0.008244290595578407,19,,2016-02-15 18:15:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,222",2.090762320083793e-05,33152.84448651081,0.039101090007841566,18,,2016-12-28 16:00:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,229",2.1518210983191454e-35,3.221211935794217e+34,0.0,25,,2016-01-15 14:15:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,231",1.278380417664055e-05,54220.728899032394,0.010933197091413716,14,,2016-06-16 22:15:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,242",2.8080900058740456e-06,246839.37448942146,0.000834268684237971,14,,2016-01-21 20:30:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,246",7.122303135568738e-06,97320.65139131364,0.006194513911509714,18,,2016-01-15 14:15:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,25",5.973244622845141e-36,1.1604198795223448e+35,0.0,25,,2016-06-13 13:45:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,252",6.37662318077044e-06,108701.29234705656,0.004560739470410913,15,,2016-01-28 22:30:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,32",2.950044969560317e-35,2.349615642175292e+34,0.0,26,,2016-11-22 23:15:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,33",6.3158911957874055e-06,109746.53601098494,0.005833212041044256,24,,2016-05-03 17:45:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,331",1.9568916012834642e-05,35420.8265856592,0.021790692720809357,7,,2016-01-28 23:45:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,35",2.25606113993015e-06,307237.76421298843,0.00013442145215281087,30,,2020-02-07 13:00:00,2020
msnbc,"TAX_FNCACT_PRESIDENT,38",8.937525411056216e-06,77554.70879025235,0.014083293917953488,46,,2016-12-27 19:30:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,44",1.029416419900249e-35,6.733399304307887e+34,0.0,26,,2016-03-08 20:45:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,45",1.4558089645581213e-05,47612.509431849445,0.02050412941809876,29,,2020-01-24 03:30:00,2020
msnbc,"TAX_FNCACT_PRESIDENT,46",1.5069409977277537e-05,45996.96880004656,0.030873716209914748,28,,2016-04-25 22:15:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,47",1.1968188599251315e-35,5.791579693215279e+34,0.0,44,,2016-02-02 20:00:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,513",1.0075760921152582e-05,68793.53192122537,0.012250992834636598,10,,2016-02-16 21:00:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,52",3.433952089237174e-36,2.0185115067051577e+35,0.0,42,,2016-01-19 14:30:00,2016
